Skill
Python
SQL
Java
C++
JavaScript
Pandas
NumPy
Scikit-learn
TensorFlow
PyTorch
Power BI
Tableau
Excel
Docker
Git
Linux
AWS
Azure
Flask
Streamlit
NLP
Deep Learning
Machine Learning
Data Analysis
Data Visualization
MongoDB
PostgreSQL
MySQL
REST API
HTML
CSS
GitHub
